Code,BOM,QtyBom
PH2630FB,H-2630,1
PH2602GR,H-2602Gr,1
PH2602GY,H-2602Gy,1
PFI7868VG,FI7868VG,1
PFI7868FS,FI7868FS,1
PFI8290GR,FI8290GR,1
FPAB30419,30.419.12,1
FPAB30338,30.338.12,1
FPFB172,B172,1
FPFB173,B173,1
FPFI7985GR,FI7985GR,1
FPFI7665GR,FI7665GR,1
FPFI7984GR,FI7984GR,1
FPAB30468,30.468.12,1
FPAB30688,30.688.12,1
FPRE5691,5691,1
FPJM8829,S8829,1
FPGF80241,GF80241,1
FPBF6001,STBF6001,1
FPS8746GRN,S8746Grn,1
FPS8967GRN,S8967Grn,1
PH2029,H-2029,1
PH2021D,H-2021D,1
PH2021GD,H-2021GD,1
PAB30698,30.698.12,1
PELPL050,PL.050.VE,1
PFI8190GP,FI8190GP,1
PFI8160GM,FI8160GM,1
PAB301036,30.1036.12,1
FPJM8756,S8756Grn,1
PJM8818,S8818Grn,1
PAB30802,30.802.12,1
PFI7727GR,FI7727GR,1
PRE6521,6521,1
PRE5836,5836,1
PRE5837,5837,1
PH2383W,H-2383Wht,1
PH2383Y,H-2383Yel,1
PAB3049808,30.498.08,1
PAB3049828,30.498.28,1
PFAO30D,STFAO30D,1
PH0263,H0263,1
PSTG0405,STG0405,1
HPGR1388Y,GR1388Y,1
HPGR1392P,GR1392P,1
HPGR1392Y,GR1392Y,1
FPRE4800,4800,1
PF31538O,ST31538O,1
PF31538R,ST31538R,1
PFB5501YE,STFB5501YE,1
PF31539Y,ST31539Y,1
PF31539R,ST31539R,1
PYM09001,BYM09001,1
PYS06001,BYS06001,1
PAB30384,30.384.12,1
PAB30385,30.385.12,1
PJMS3526,S3526Grn,1
PJMS8941,S8941Grn,1
PH20283,H-2028-3,1
TFRE5710,5710,1
HPFI6662,FI6662GR,1
FPGF70355B,GF70355-BLU,1
PGR1801,1801,1
PGR1802,1802,1
PGR1803,1803,1
PGR1804,1804,1
PFBF77GR,F77GR,1
HBFB121627,DB0121627,3
HBFB121624,DB0121624,2
HBFB1216202,DB01216202,3
HBFB1216206,DB01216206,2
HBGF60247CRM,GF80247-CRM,2
HBFI6665WH,FI6665WH,3
HBFI6665FUS,FI6665FU,3
HBRE6756,6756,2
HBGRPO250,PO250,2
HBFI6767,FI6767GR,1
HBFI6662,FI6662GR,3
HB7831,STBF6001,1
HB7848,STBF6001,1
HBGR13041,1304GP,1
HBFI7581GRBU,PL.062.GNPK,3
HB7840,W81RGR,3
HBFI9006,FI9006WH,3
HBRE5325,5325GR,3
HBGRPO95,PO95,2
HBGF80246PUR,GF80246-PUR,2
PFB0125204,DB0125204,1
PFB0125207,DB0125207,1
PFB0125217,DB0125217,1
PFB0125216,DB0125216,1
PRE4689GW2,4689GW,2
PRE4689GP2,4689GP,2
PH20285,H-2028-5,1
HPAB30993,30.993.12,1
PELPL119,PL.119.GN,1
PFI7933,FI7933GR,1
PF188,F188,1
PGF80229,GF80229-51,1
PFI7581GRBU,FI7581GRBU,1
PFI6674GY,FI6674GY,1
PFI9560GR,FI9560GR,1
PDBYR6576,DBYR6576,1
PF210,F210,1
PAB301070,30.1070.12,1
PPL090GYGN,PL.090.GYGN,1
PRE5325GR,5325GR,1
PAB301065,30.1065.12,1
HPAB30929,30.929.12,1
HPFI7590GR,FI7590GR,1
HPFI7590VG,FI7590VG,1
HPFI7258GR,FI7258GR,1
P6675TTGR,6675TTGR,1
PH2380WP,H-2380Pur,2
PSA64,SA64,1
PPO64,PO64,1
PPE64,PE64,1
PCA64,CA64,1
PST170,ST170,1
PPT160,PT160,1
PPT200,PT200,1
PSP150,SP150,1
PELPL051,PL.051.VE,1
PELPL132,PL.132.GN,1
HPAB30987,30.987.12,1
PAB301063,30.1063.12,1
PFI9753WG,FI9753WG,1
PFI9753PG,FI9753PG,1
PFI7932GR,FI7932GR,1
PF203,F203,1
HPFI9006WH,FI9006WH,1
HPPL053,PL.053.GN,1
HPFI6544GR,FI6544GR,1
HPPL063GNPK,PL.063.GNPK,1
HPW81RGR,W81RGR,1
HPPO214,PO214,1
PGF60803,GF60803,1
HPDAVILS97,DAVILS97,1
HPPL077,PL.077.VE,1
HPPE180,PE180,1
HPPO180,PO180,1
HPEN180,EN180,1
HPPL062GNPK,PL.062.GNPK,1
P1304GW,1304GW,1
P1304GP,1304GP,1
HP3091835,30.918.35,1
HPPO250,PO250,1
HPPL086GW,PL.086.GNWH,1
HPGF60818-90,GF60818-90,1
PFI7988GR,FI7988GR,1
PPL042GN,PL.042.GN,1
HPEN214,EN214,1
